,Unnamed: 0,Country,Country Code,Series,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2020 [YR2020]
165,165,Dominican Republic,DOM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
166,166,Dominican Republic,DOM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
167,167,Dominican Republic,DOM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
168,168,Ecuador,ECU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
169,169,Ecuador,ECU,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
170,170,Ecuador,ECU,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
171,171,"Egypt, Arab Rep.",EGY,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
172,172,"Egypt, Arab Rep.",EGY,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
173,173,"Egypt, Arab Rep.",EGY,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
174,174,El Salvador,SLV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
175,175,El Salvador,SLV,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
176,176,El Salvador,SLV,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
177,177,Equatorial Guinea,GNQ,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
178,178,Equatorial Guinea,GNQ,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
179,179,Equatorial Guinea,GNQ,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
180,180,Eritrea,ERI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
181,181,Eritrea,ERI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
182,182,Eritrea,ERI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
183,183,Estonia,EST,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,512.1041977390499,,,520.5455216767859,,,,
184,184,Estonia,EST,PISA: Mean performance on the reading scale,LO.PISA.REA,,500.961865512048,,,516.294184313067,,,,
185,185,Estonia,EST,PISA: Mean performance on the science scale,LO.PISA.SCI,,527.8317562473829,,,541.404756164087,,,,
186,186,Ethiopia,ETH,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
187,187,Ethiopia,ETH,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
188,188,Ethiopia,ETH,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
